listing_id,brand,category,original_title,source_bullets,generated_title,generated_description,intended_flaw,human_accuracy,human_compliance,human_quality_score,human_notes
LST-0001,find.,Product,"Amazon-merk - vinden. Dames Leder Gesloten Teen Hakken,Veelkleurig Vrouw Blauw,5 UK",Schoen in Loafer-stijl | Platform hak | Cap teen,find. Product - High Quality Schoen in Loafer-stijl,Features premium craftsmanship. find. original design. Ideal for home and office.,none,4.9,1,4.8,"Ground Truth: Accurate, compliant, high customer clarity."
LST-0002,AmazonBasics,Product,"22"" Bottom Mount Drawer Slides, White Powder Coat, 10 Pairs",White Powder Coat Finish | 55-Lbs max weight capacity | Length: 22-inch (550mm),AmazonBasics Product - High Quality White Powder Coat Finish,Features premium craftsmanship. AmazonBasics original design. Ideal for home and office.,none,4.9,1,4.8,"Ground Truth: Accurate, compliant, high customer clarity."
LST-0003,AmazonBasics,Product,"AmazonBasics PETG 3D Printer Filament, 1.75mm, 1 kg Spool 1.75mm AMG10528516-10","3D printer filament with 1.75mm diameter + / - .05mm; designed to fit most common 3D printers (check spool size for compatibility); Translucent Yellow; 1 kg spool | Made of PETG plastic, known for its ease of use (like PLA) and durable strength (like ABS); no heating bed needed; offers easy bed adhesion, stiffness, and a glossy finish | Spool's built-in gauge shows percentage of material remaining and approximate length remaining",AmazonBasics Product - High Quality 3D printer filament with 1.75mm diameter + / - .05mm; designed to fit most common 3D printers (check spool size for compatibility); Translucent Yellow; 1 kg spool,Features premium craftsmanship. AmazonBasics original design. Ideal for home and office.,none,4.9,1,4.8,"Ground Truth: Accurate, compliant, high customer clarity."
LST-0004,Stone & Beam,Product,"Stone & Beam Stone Brown Swatch, 25020039-01",,Stone & Beam Product crafted from 100% Pure Siberian Cashmere & Solid Gold,Luxury grade materials imported directly from outer space. Fits all standard sizes.,hallucination,1.5,1,2.0,Ground Truth: Severe hallucination of non-existent materials/specs.
LST-0005,The Fix,Product,"The Fix Amazon Brand Women's French Floral Embroidery Slide Slip-on Loafer, Havana Tan, 6.5 B US",Embroidered flowers bloom against understated tan suede in this backless loafer with apron toe and cross strap. | Minimalist heel,WORLD'S BEST #1 GUARANTEED The Fix Product AMAZING CHEAP SALE!!!,Unbeatable top seller! Cures fatigue and makes you 100% smarter instantly!,policy_violation,3.0,0,1.3,Ground Truth: Prohibited superlatives and false claims violation.
LST-0006,Amazon Brand - Solimo,Product,Amazon Brand - Solimo Designer Autumn Girl 3D Printed Hard Back Case Mobile Cover for Mi Redmi Go,"Snug fit for Mi Redmi Go, with perfect cut-outs for volume buttons, audio and charging ports | Compatible with Mi Redmi Go | Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports.",Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product Amazon Brand - Solimo Product EXTRA LONG TITLE FOR KEYWORD STUFFING BEST BUY NOW DISCOUNT SALE CHEAP HARDWARE,Excessive text stuffed with terms for ranking manipulation.,length_violation,3.5,0,2.2,Ground Truth: Excessive title length (>200 chars) & keyword stuffing.
LST-0007,Amazon Brand - Solimo,Product,Amazon Brand - Solimo Designer Butterflies Printed Hard Back Case Mobile Cover for Xiaomi Redmi Y2 (D187),"Snug fit for Xiaomi Redmi Y2, with perfect cutouts for volume buttons, audio and charging ports | Stylish design and appearance, express your unique personality | High Resolution UV light-ion 3D Embossed Printing for extraordinary quality and clarity. Printed using high end advanced Japanese machines. Your get our quality promise and design excellence","Amazon Brand - Solimo Product - High Quality Snug fit for Xiaomi Redmi Y2, with perfect cutouts for volume buttons, audio and charging ports",Features premium craftsmanship. Amazon Brand - Solimo original design. Ideal for home and office.,none,4.9,1,4.8,"Ground Truth: Accurate, compliant, high customer clarity."
LST-0008,AmazonBasics,Product,AmazonBasics Serene 16-Piece Old Fashioned and Coolers Glass Drinkware Set,"Lead-free glass: made of crystal-clear, lead-free glass for stunning clarity; keeps its shine through many washings; beautifully showcases beverages and adds a touch of glamour to any gathering | Versatile: suitable for special occasions and everyday use; ideal for serving liquor, mixed drinks, and non-alcoholic beverages, like freshly squeezed lemonade, iced tea, juice, water, soda, and more | Chic style and easy care: heavy sham for extra stability; squared base transitions into a circular rim for eye-catching aesthetics; dishwasher-safe for convenient cleaning","AmazonBasics Product - High Quality Lead-free glass: made of crystal-clear, lead-free glass for stunning clarity; keeps its shine through many washings; beautifully showcases beverages and adds a touch of glamour to any gathering",Features premium craftsmanship. AmazonBasics original design. Ideal for home and office.,none,4.9,1,4.8,"Ground Truth: Accurate, compliant, high customer clarity."
LST-0009,Amazon Brand - Solimo,Product,Amazon Brand - Solimo Designer Butterflies Neon Light 3D Printed Hard Back Case Mobile Cover for Vivo Y81i,"Snug fit for Vivo Y81i, with perfect cut-outs for volume buttons, audio and charging ports | Compatible with Vivo Y81i | Easy to put & take off with perfect cutouts for volume buttons, audio & charging ports.","Amazon Brand - Solimo Product - High Quality Snug fit for Vivo Y81i, with perfect cut-outs for volume buttons, audio and charging ports",Features premium craftsmanship. Amazon Brand - Solimo original design. Ideal for home and office.,none,4.9,1,4.8,"Ground Truth: Accurate, compliant, high customer clarity."
LST-0010,UMI,Product,UMI by Amazon 6 PCS Stretch Dining Chair Covers Melange Velvet Removable Chair Protector Elastic Slipcovers Turquoise,"Product Detail: Package include 6 pieces of chair.The Umi high elastic couch covers for chair is flexible, soft, and slip resistant for long-term comfort. Craft from 97% Polyster, 3% Spandex. | With the unique shiny suede umi velvet chair will make your normal and old chairs brand new. Ideal for chairs that measure between 16""to 23"" back high and 15"" to 18"" back width. Seat length and width from 16"" to 22"" and seat high of 1"" to 4"" | Our dining room chair Slipcovers could help protect your furniture from daily tear, spills, stains and so on. We are confident in the quality of our products.",UMI Product crafted from 100% Pure Siberian Cashmere & Solid Gold,Luxury grade materials imported directly from outer space. Fits all standard sizes.,hallucination,1.5,1,2.0,Ground Truth: Severe hallucination of non-existent materials/specs.
